parking_id,capacity,booking_hour,booking_weekday,traffic_congestion_index,current_occupancy_ratio,timestamp
parking_sim_0,15,0,3,0.13108904159657686,0.10552479527812317,2026-01-01T00:00:00+00:00
parking_sim_0,15,0,3,0.05459808211767092,0.16275608738757533,2026-01-01T00:30:00+00:00
parking_sim_0,15,1,3,0.02032926425886981,0.1611616516880055,2026-01-01T01:00:00+00:00
parking_sim_0,15,1,3,0.2478254022286159,0.19042061139226105,2026-01-01T01:30:00+00:00
parking_sim_0,15,2,3,0.007204573003530856,0.1267648746390594,2026-01-01T02:00:00+00:00
parking_sim_0,15,2,3,0.06419157844870184,0.1289932077128741,2026-01-01T02:30:00+00:00
parking_sim_0,15,3,3,0.10648478503583819,0.045498039492255934,2026-01-01T03:00:00+00:00
parking_sim_0,15,3,3,0.10193019906931466,0.18801478729587612,2026-01-01T03:30:00+00:00
parking_sim_0,15,4,3,0.21414851315283281,0.13287815743295062,2026-01-01T04:00:00+00:00
parking_sim_0,15,4,3,0.12822664515279208,0.12030372651523309,2026-01-01T04:30:00+00:00
parking_sim_0,15,5,3,0.15962449447596255,0.12482100156302996,2026-01-01T05:00:00+00:00
parking_sim_0,15,5,3,0.17998205344476406,0.17390881867650432,2026-01-01T05:30:00+00:00
parking_sim_0,15,6,3,0.20734509910171486,0.15488876660890719,2026-01-01T06:00:00+00:00
parking_sim_0,15,6,3,0.05968344329055203,0.12938257351630186,2026-01-01T06:30:00+00:00
parking_sim_0,15,7,3,0.022768057544847828,0.12598984599576352,2026-01-01T07:00:00+00:00
parking_sim_0,15,7,3,0.03418523990223435,0.18789759284186555,2026-01-01T07:30:00+00:00
parking_sim_0,15,8,3,0.855269907953647,0.909137912212976,2026-01-01T08:00:00+00:00
parking_sim_0,15,8,3,0.7985530730333811,0.9435297845440991,2026-01-01T08:30:00+00:00
parking_sim_0,15,9,3,0.012035982390326438,0.8408219818467217,2026-01-01T09:00:00+00:00
parking_sim_0,15,9,3,0.23188279952389368,0.8655739565302449,2026-01-01T09:30:00+00:00
parking_sim_0,15,10,3,0.10909887663129383,0.9611325216620976,2026-01-01T10:00:00+00:00
parking_sim_0,15,10,3,0.06469905943393446,0.8977455889712926,2026-01-01T10:30:00+00:00
parking_sim_0,15,11,3,0.33935461971759545,0.8587455326421545,2026-01-01T11:00:00+00:00
parking_sim_0,15,11,3,0.3226559822580909,0.8852704415579444,2026-01-01T11:30:00+00:00
parking_sim_0,15,12,3,0.03097237571817182,0.8096365862853957,2026-01-01T12:00:00+00:00
parking_sim_0,15,12,3,0.09497216112086357,0.7866682314585245,2026-01-01T12:30:00+00:00
